"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2022","10,835","10,820","10,870","10,785","705.42K","-1.81%"
"08/31/2022","11,035","11,060","11,090","11,020","1.18M","-1.39%"
"08/30/2022","11,190","11,160","11,205","11,125","966.89K","0.31%"
"08/29/2022","11,155","11,000","11,165","11,000","1.20M","-4.00%"
"08/26/2022","11,620","11,640","11,660","11,595","616.49K","0.35%"
"08/25/2022","11,580","11,510","11,600","11,495","960.40K","0.56%"
"08/24/2022","11,515","11,500","11,520","11,450","749.71K","0.17%"
"08/23/2022","11,495","11,575","11,595","11,475","1.00M","-2.05%"
"08/22/2022","11,735","11,715","11,765","11,715","871.05K","-1.47%"
"08/21/2022","11,910","11,910","11,910","11,910","","0.00%"
"08/19/2022","11,910","11,965","11,975","11,905","836.95K","0.42%"
"08/18/2022","11,860","11,810","11,890","11,800","635.30K","-0.50%"
"08/17/2022","11,920","11,910","11,920","11,880","949.07K","0.21%"
"08/16/2022","11,895","11,825","11,935","11,825","1.41M","2.90%"
"08/12/2022","11,560","11,615","11,615","11,525","583.78K","-1.03%"
"08/11/2022","11,680","11,600","11,680","11,580","1.18M","3.27%"
"08/10/2022","11,310","11,345","11,350","11,295","897.68K","-0.75%"
"08/09/2022","11,395","11,405","11,425","11,375","662.50K","-0.78%"
"08/08/2022","11,485","11,395","11,485","11,375","543.69K","-0.48%"
"08/07/2022","11,540","11,540","11,540","11,540","","0.00%"
"08/05/2022","11,540","11,555","11,575","11,515","656.37K","0.44%"
"08/04/2022","11,490","11,470","11,505","11,455","971.58K","2.22%"
"08/03/2022","11,240","11,205","11,240","11,155","478.31K","0.81%"
"08/02/2022","11,150","11,205","11,230","11,125","648.16K","-0.31%"
"08/01/2022","11,185","11,190","11,210","11,155","861.14K","0.63%"
"07/29/2022","11,115","11,085","11,145","11,015","1.69M","3.83%"
"07/28/2022","10,705","10,810","10,830","10,690","755.08K","1.18%"
"07/27/2022","10,580","10,505","10,580","10,490","589.19K","0.76%"
"07/26/2022","10,500","10,545","10,545","10,480","450.26K","-1.64%"
"07/25/2022","10,675","10,635","10,675","10,610","333.80K","-1.11%"
"07/22/2022","10,795","10,760","10,835","10,750","1.18M","0.75%"
"07/21/2022","10,715","10,710","10,735","10,680","859.28K","1.13%"
"07/20/2022","10,595","10,550","10,615","10,525","655.73K","3.06%"
"07/19/2022","10,280","10,310","10,325","10,240","434.23K","-1.67%"
"07/18/2022","10,455","10,500","10,500","10,400","623.05K","1.46%"
"07/15/2022","10,305","10,250","10,315","10,245","341.56K","1.78%"
"07/14/2022","10,125","10,040","10,125","10,020","426.18K","-0.44%"
"07/13/2022","10,170","10,150","10,170","10,125","419.73K","-0.54%"
"07/12/2022","10,225","10,290","10,320","10,215","402.54K","-1.35%"
"07/11/2022","10,365","10,485","10,485","10,350","490.25K","-0.29%"
"07/08/2022","10,395","10,430","10,450","10,395","582.27K","1.07%"
"07/07/2022","10,285","10,260","10,290","10,235","683.99K","1.53%"
"07/06/2022","10,130","10,105","10,225","10,105","679.29K","2.01%"
"07/05/2022","9,930","9,945","9,945","9,820","591.70K","1.12%"
"07/04/2022","9,820","9,770","9,825","9,770","630.57K","1.81%"
"07/01/2022","9,645","9,785","9,785","9,640","1.00M","-1.98%"
"06/30/2022","9,840","9,960","9,990","9,835","572.80K","-0.91%"
"06/29/2022","9,930","9,930","9,930","9,855","757.56K","-2.79%"
"06/28/2022","10,215","10,275","10,275","10,150","398.07K","-1.07%"
"06/27/2022","10,325","10,300","10,365","10,280","873.77K","1.87%"
"06/24/2022","10,135","10,000","10,145","9,945","686.38K","2.68%"
"06/23/2022","9,870","9,765","9,920","9,765","567.61K","1.60%"
"06/22/2022","9,715","9,800","9,840","9,700","1.01M","0.10%"
"06/21/2022","9,705","9,610","9,720","9,610","382.41K","1.09%"
"06/20/2022","9,600","9,685","9,685","9,540","555.36K","1.00%"
"06/17/2022","9,505","9,450","9,515","9,415","844.12K","-2.21%"
"06/16/2022","9,720","9,785","9,870","9,720","710.28K","1.36%"
"06/15/2022","9,590","9,600","9,605","9,560","877.34K","-0.83%"
"06/14/2022","9,670","9,490","9,675","9,490","885.68K","-0.10%"
"06/13/2022","9,680","9,780","9,820","9,665","1.40M","-5.65%"
"06/10/2022","10,260","10,190","10,260","10,160","422.43K","-0.97%"
"06/09/2022","10,360","10,375","10,425","10,340","280.60K","-0.10%"
"06/08/2022","10,370","10,365","10,425","10,365","441.95K","0.48%"
